Protein.Group	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	protein	Protein.Names	Genes	group
P39656	-0.015413631568013748	-0.10715623318359713	0.07632897004756964	22.26840555278238	-0.3357158757036222	0.7381964765649147	0.8602581670466429	-7.073420604460605	P39656	OST48_HUMAN	DDOST	not significant
Q9H9A5	0.004729834631766823	-0.30452693576461703	0.31398660502815073	14.355174349532481	0.030612039212588024	0.9756836150738412	0.9882331385055918	-7.073425760876657	Q9H9A5	CNO10_HUMAN	CNOT10	not significant
P06132	0.024054080715011486	-0.14715880058999425	0.1952669620200172	17.679022099752867	0.2808189156091777	0.7797807694880957	0.8833908700606844	-7.07377193028598	P06132	DCUP_HUMAN	UROD	not significant
Q96KG9	-0.02248304290539125	-0.1569187520947848	0.11195266628400233	20.735473188971113	-0.33417842173620155	0.7393507274864028	0.8604425485915261	-7.073939502080176	Q96KG9	SCYL1_HUMAN	SCYL1	not significant
Q01082	0.01506679916450357	-0.07506719359781507	0.1052007919268222	23.32920024617232	0.3340183653417445	0.7394709252017192	0.8604425485915261	-7.073993385432864	Q01082	SPTB2_HUMAN	SPTBN1	not significant
Q6PCB7	0.02745667798831893	-0.13686934819886726	0.19178270417550514	15.322798122290516	0.33387168901606945	0.7395810805950263	0.8604425485915261	-7.074042741767835	Q6PCB7	S27A1_HUMAN	SLC27A1	not significant
P07108	-0.02707038100622586	-0.1891392735425593	0.13499851153010758	19.223276928122587	-0.3337587504278269	0.7396659023364678	0.8604425485915261	-7.074080730691294	P07108	ACBP_HUMAN	DBI	not significant
Q08378	-0.02822459667638317	-0.19801992799672694	0.1415707346439606	16.238898906792418	-0.3321543594344151	0.7408712187542608	0.8608273495893497	-7.0746190131511275	Q08378	GOGA3_HUMAN	GOLGA3	not significant
Q86UT6	0.02522522764061682	-0.12674092509110937	0.17719138037234303	16.13122553106672	0.33168526783996294	0.7412237522020981	0.860848899628035	-7.074775907764165	Q86UT6	NLRX1_HUMAN	NLRX1	not significant
P54840	0.016138447175796673	-0.08111286615114507	0.11338976050273841	22.040621820539307	0.33159213955696376	0.7412937469334568	0.860848899628035	-7.074807029606315	P54840	GYS2_HUMAN	GYS2	not significant
Q9Y6W3	-0.014037010092192721	-0.24440343520654517	0.21632941502215974	15.908947671305677	-0.12196099240455628	0.9033498046425252	0.948605570724593	-7.0750386693021765	Q9Y6W3	CAN7_HUMAN	CAPN7	not significant
Q12768	-0.02058289515473122	-0.1452381049376667	0.10407231462820427	17.82983483596734	-0.3299392514845574	0.7425364131576926	0.8612155728316772	-7.075357946871564	Q12768	WASC5_HUMAN	WASHC5	not significant
O43681	0.026753858134787076	-0.13530172951536767	0.1888094457849418	17.435816911405052	0.3298833275831962	0.742578469631287	0.8612155728316772	-7.075376538653346	O43681	GET3_HUMAN	GET3	not significant
Q6DKK2	0.02825192928659598	-0.20901406845387083	0.2655179270270628	16.353127765551356	0.2380823472179622	0.8126121093200185	0.9020432833667184	-7.075551141596154	Q6DKK2	TTC19_HUMAN	TTC19	not significant
Q9P258	-0.034364819213480086	-0.3199979657714016	0.2512683273444415	15.442254759670373	-0.2405581354389928	0.8107011725022151	0.9011859824577607	-7.075783313678191	Q9P258	RCC2_HUMAN	RCC2	not significant
P21912	-0.019750070982761585	-0.1403193295353028	0.10081918756977962	23.029268249857818	-0.32731810451504423	0.7445084392180125	0.8623390551130774	-7.076225965455377	P21912	SDHB_HUMAN	SDHB	not significant
P40818	0.022511887679973343	-0.2857584899587754	0.3307822653187221	14.057125811237333	0.14606292041129526	0.8843594422210773	0.9414279594843179	-7.076627941394729	P40818	UBP8_HUMAN	USP8	not significant
Q86Y82	-0.03395837435742747	-0.24210475864037592	0.174188009925521	16.04261939983144	-0.32599878198196675	0.74550168480342	0.8631509410799841	-7.076660261601193	Q86Y82	STX12_HUMAN	STX12	not significant
O94966	0.025838749331406147	-0.15686989788390374	0.20854739654671603	15.828601926851508	0.28267435942731134	0.7783645189492809	0.8832639154956778	-7.07716985074112	O94966	UBP19_HUMAN	USP19	not significant
Q9H446	0.011150070900218039	-0.19662750690311426	0.21892764870355036	16.224818942482614	0.10737150367077168	0.9148571079545549	0.9556324866607006	-7.0771890571927	Q9H446	RWDD1_HUMAN	RWDD1	not significant
P29350	0.02493195023882128	-0.12929672689903624	0.1791606273766788	17.712662846759176	0.3230197485838839	0.7477460271323753	0.8647727193901357	-7.077634473038929	P29350	PTN6_HUMAN	PTPN6	not significant
Q9Y478	-0.026393284509771086	-0.21434747258046669	0.16156090356092453	15.708305385046682	-0.2806825814172581	0.7798848622581118	0.8833908700606844	-7.077735507788878	Q9Y478	AAKB1_HUMAN	PRKAB1	not significant
P53999	0.03902777350227461	-0.20297870631324116	0.28103425331779036	20.44928487977817	0.3222439246629488	0.7483308772533914	0.864900618602452	-7.077886722086123	P53999	TCP4_HUMAN	SUB1	not significant
Q99807	0.02760889398861356	-0.14373732787430915	0.1989551158515363	16.574113647166143	0.3219677949454198	0.7485390717548841	0.8649719737398446	-7.077976356186303	Q99807	COQ7_HUMAN	COQ7	not significant
Q92556	-0.015463012682262729	-0.2635099960293574	0.2325839706648319	15.056849363088068	-0.12468666912434967	0.9011868017587363	0.9484220026198119	-7.078688979930333	Q92556	ELMO1_HUMAN	ELMO1	not significant
Q93100	-0.014455252819358572	-0.10496221560588026	0.07605170996716312	19.364429425934382	-0.3191403062861239	0.7506720011161286	0.8659118825374719	-7.0788897761454495	Q93100	KPBB_HUMAN	PHKB	not significant
Q15118	-0.024069085202476578	-0.2400802086554579	0.19194203825050474	15.106630869875717	-0.22279121306033273	0.8244394939957349	0.9084215767796288	-7.0791055205654425	Q15118	PDK1_HUMAN	PDK1	not significant
O75146	0.026131403675619894	-0.13858072974677138	0.19084353709801116	17.04674181160925	0.3170115630203128	0.7522791180393298	0.8671582059714293	-7.079572167288587	O75146	HIP1R_HUMAN	HIP1R	not significant
Q5SRE7	0.022783894940402127	-0.12105229761347029	0.16662008749427454	18.93962768247394	0.31651751529852945	0.7526522620766717	0.867349123868258	-7.079729888641198	Q5SRE7	PHYD1_HUMAN	PHYHD1	not significant
Q96RS6	-0.010172885837215083	-0.1907804512366992	0.17043467956226901	18.22602760515421	-0.1126595710610228	0.9106750776930778	0.9529495054669237	-7.0801296827213704	Q96RS6	NUDC1_HUMAN	NUDCD1	not significant
Q12769	-0.023543914239697594	-0.1955845910616189	0.14849676258222372	15.887001279286345	-0.27354044854099924	0.7853435746998957	0.8858363545029763	-7.080131958444332	Q12769	NU160_HUMAN	NUP160	not significant
P18074	0.03292881114775914	-0.2099448369167429	0.2758024592122612	16.784427103441637	0.2710002460687164	0.7872876696958794	0.8868435966476947	-7.080428411818084	P18074	ERCC2_HUMAN	ERCC2	not significant
P00395	0.03056029659468811	-0.173083291986201	0.23420388517557725	15.91815135123056	0.2999582791139782	0.7652085997652355	0.87600736387158	-7.08043910248288	P00395	COX1_HUMAN	MT-CO1	not significant
Q02750	-0.02456045325097562	-0.21711586232208985	0.16799495582013863	15.338827566601616	-0.25511765559802657	0.7995013092633789	0.8933989817638288	-7.08069278160218	Q02750	MP2K1_HUMAN	MAP2K1	not significant
P37198	-0.03075668811975476	-0.2270215702931483	0.16550819405363876	15.609169676321486	-0.3131373902824901	0.7552067839710451	0.86957795843629615	-7.080802392382913	P37198	NUP62_HUMAN	NUP62	not significant
P19440	0.02641990298538193	-0.14225350191958966	0.19509330789035353	17.599915931786757	0.31298430769660296	0.7553225409377243	0.86957795843629615	-7.080850693333661	P19440	GGT1_HUMAN	GGT1	not significant
Q9BY67	0.02908591152088647	-0.23852817569169987	0.2966999987334728	15.244139443719051	0.2173142959622376	0.8286858876300344	0.9105523446219503	-7.081151205750222	Q9BY67	CADM1_HUMAN	CADM1	not significant
P00480	-0.017430657947518306	-0.12908309890135194	0.09422178300631534	24.492878517924154	-0.3119489407954895	0.7561056053233373	0.8699410827520784	-7.08117675639884	P00480	OTC_HUMAN	OTC	not significant
Q969X5	-0.015143308643871135	-0.11237613480726466	0.0820895175195224	21.022948416968863	-0.31120446672803653	0.7566688214600743	0.8702796610600193	-7.081410544325866	Q969X5	ERGI1_HUMAN	ERGIC1	not significant
Q7Z460	0.029487393873630256	-0.1601075391188794	0.2190823268661399	16.126329355532416	0.31077610641882075	0.7569929484170139	0.8704240601560244	-7.081544810339573	Q7Z460	CLAP1_HUMAN	CLASP1	not significant
Q9Y5A7	0.031206238881884875	-0.17092311477556216	0.2333355925393319	15.070926519755178	0.3084963274691608	0.7587187214296615	0.87195811807036006	-7.082256286462302	Q9Y5A7	NUB1_HUMAN	NUB1	not significant
Q8NBF6	-9.054006209230505e-4	-0.28817842989576214	0.2863676286539161	14.663533411273646	-0.0063060298083947985	0.9949897395689122	0.9971178429297718	-7.082545372622669	Q8NBF6	AVL9_HUMAN	AVL9	not significant
Q9Y3D6	-0.026756671208566427	-0.20074703422443574	0.1472336918073029	16.323325059822743	-0.30728746495987824	0.7596343200924859	0.8728405242152182	-7.0826314308422305	Q9Y3D6	FIS1_HUMAN	FIS1	not significant
P52306	-0.035074292509762045	-0.2735746416796025	0.2034260566600784	19.026774354058396	-0.2939503153059928	0.7697740109893471	0.8796529915839699	-7.0826384190213485	P52306	GDS1_HUMAN	RAP1GDS1	not significant
P51665	0.015487087047635842	-0.08539432598654452	0.11636850008181619	18.731730712813167	0.30675845343672864	0.7600351047408774	0.8729613630104281	-7.082795136222162	P51665	PSMD7_HUMAN	PSMD7	not significant
Q9Y3I1	-0.02491866593931717	-0.18794017206962166	0.13810284019098734	16.022123551235467	-0.305434326237979	0.7610385663313737	0.8738598715747602	-7.083203661372494	Q9Y3I1	FBX7_HUMAN	FBXO7	not significant
Q9H1Y0	0.033347086726370545	-0.18516418013602065	0.25185835358876174	15.055271831931304	0.30494535393445377	0.7614092277554548	0.8738598715747602	-7.0833540756436015	Q9H1Y0	ATG5_HUMAN	ATG5	not significant
P49593	0.01996888263950151	-0.1741481857531259	0.2140859510321289	17.90636347772216	0.20568595156434016	0.8377185143772516	0.9159604644730698	-7.083632426606251	P49593	PPM1F_HUMAN	PPM1F	not significant
O43402	-0.022692357684677242	-0.17195731010355136	0.12657259473419685	15.281896770729464	-0.30378038660899	0.7622925473887675	0.8743639123864946	-7.083711466637142	O43402	EMC8_HUMAN	EMC8	not significant
O75915	0.019168040198689767	-0.10733751727697156	0.1456735976743511	18.891911586139106	0.30276527526259084	0.7630624995009871	0.8750771110782194	-7.084021772475655	O75915	PRAF3_HUMAN	ARL6IP5	not significant
Q99829	0.021259769598216873	-0.11918906121096456	0.16170860040739832	18.639582242327617	0.30246726704924837	0.7632885814573094	0.8750943441483658	-7.084112672922041	Q99829	CPNE1_HUMAN	CPNE1	not significant
Q13885	-0.02467699817396287	-0.18851693255292074	0.13916293620499498	20.073924268836137	-0.3009612073808471	0.7644314594826305	0.8756268812460077	-7.084570695880252	Q13885	TBB2A_HUMAN	TUBB2A	not significant
Q9BW61	-0.01868936399715359	-0.3418978962032213	0.3045191682089141	14.69482942135732	-0.11565690504932956	0.9083091794891922	0.9518229265548561	-7.084775589664469	Q9BW61	DDA1_HUMAN	DDA1	not significant
Q6N063	0.026509112349996224	-0.1960236192458718	0.24904184394586426	14.8872002930113	0.2381858054177259	0.812532232138989	0.9020432833667184	-7.0849174205135155	Q6N063	OGFD2_HUMAN	OGFOD2	not significant
P12814	-0.01880466472769605	-0.14437218802671892	0.10676285857132682	20.400048516208773	-0.2992445319150961	0.7657348047984713	0.8764398754146844	-7.085089991076141	P12814	ACTN1_HUMAN	ACTN1	not significant
P0DPB6	0.024062046034253177	-0.22490687163122353	0.2730309636997299	14.89202995599138	0.19324221707621583	0.8474088191547248	0.9194922810817205	-7.085306812575103	P0DPB6	RPAC2_HUMAN	POLR1D	not significant
P29590	-0.004114160789561233	-0.216741718484204	0.20851339690508155	16.834495572259584	-0.038714334250887085	0.9692483305560535	0.9842470151760749	-7.0857474016121795	P29590	PML_HUMAN	PML	not significant
Q8N128	-0.018786824172507335	-0.2371695422500224	0.1995958939050077	15.95349389606277	-0.17206596111000885	0.8639624806798214	0.9290900238337627	-7.085802429014796	Q8N128	F177A_HUMAN	FAM177A1	not significant
P27144	0.01588435939430239	-0.09154974952929856	0.12331846831790333	23.265996358073892	0.29543740195975543	0.7686276971173459	0.8789683317335886	-7.086231080749921	P27144	KAD4_HUMAN	AK4	not significant
O43505	4.909529844222657e-4	-0.37122865594530224	0.37221056191414675	13.919990668711774	0.0026435647552539962	0.9978997781298089	0.9985760910936379	-7.086466491401331	O43505	B4GA1_HUMAN	B4GAT1	not significant
Q9Y3D9	0.023686650662247816	-0.13735899922200412	0.18473230054649975	17.432667401035356	0.29389528155732203	0.7698004373809701	0.8796529915839699	-7.0866891457269485	Q9Y3D9	RT23_HUMAN	MRPS23	not significant
Q66K74	-0.021922296050367204	-0.17115864470351988	0.1273140526027855	17.51007418124971	-0.2935278953533512	0.7700799041523299	0.8796529915839699	-7.086797919972528	Q66K74	MAP1S_HUMAN	MAP1S	not significant
P05186	-0.003249572165735484	-0.23336622165003612	0.22686707731856515	14.922331199116458	-0.02825453923798001	0.9775541176836868	0.9889116332516555	-7.086989429948653	P05186	PPBT_HUMAN	ALPL	not significant
Q9H7C9	0.021374678889233188	-0.12455192929545761	0.167301287073924	16.392590895604503	0.2926867537334928	0.7707198666977867	0.8797344912206477	-7.087046450873487	Q9H7C9	AAMDC_HUMAN	AAMDC	not significant
P10620	0.021887541954123256	-0.12831947370833166	0.1720945576165782	18.873606439034997	0.29116872911642466	0.7718752238020523	0.880396885240425	-7.087493179252241	P10620	MGST1_HUMAN	MGST1	not significant
Q8TC07	0.021281775633416714	-0.12504328492093214	0.16760683618776556	16.600730314944457	0.2906210748351948	0.7722921666695126	0.880702362685874	-7.0876537757669755	Q8TC07	TBC15_HUMAN	TBC1D15	not significant
Q9Y223	-0.018253360105717147	-0.14424360788445317	0.10773688767301887	18.845203778342228	-0.2894968540153557	0.7731482748562459	0.8809366328942584	-7.087982502319353	Q9Y223	GLCNE_HUMAN	GNE	not significant
O95721	-0.022320745957597574	-0.17672884788864568	0.1320873559734505	16.315220888931428	-0.2888527968939201	0.7736388598302737	0.8809366328942584	-7.088170254622805	O95721	SNP29_HUMAN	SNAP29	not significant
Q13724	0.012925137950253355	-0.07652847390288561	0.10237874980339232	21.24718263906857	0.2887189324438467	0.7737408373964035	0.8809366328942584	-7.088209225766155	Q13724	MOGS_HUMAN	MOGS	not significant
Q7Z2W9	0.023425689044795285	-0.13877435854248515	0.1856257366320757	16.968186498322826	0.2885887211908142	0.77384003580349	0.8809366328942584	-7.08824711609036	Q7Z2W9	RM21_HUMAN	MRPL21	not significant
P14854	0.01880363627127249	-0.11194055578278336	0.14954782832532834	18.558794258793167	0.28738056418533026	0.7747606221682193	0.8818055381461445	-7.088597866227773	P14854	CX6B1_HUMAN	COX6B1	not significant
O15127	-0.014729446082716076	-0.25550987964413946	0.2260509874787073	15.500422429325612	-0.12239827810894133	0.9029979243287733	0.948605570724593	-7.088695971432923	O15127	SCAM2_HUMAN	SCAMP2	not significant
Q9BZE2	-0.020290225418165348	-0.3045787842047005	0.26399833336836986	14.662875940213809	-0.14275369264754953	0.8869611671534336	0.9422765373325535	-7.088743036202458	Q9BZE2	PUS3_HUMAN	PUS3	not significant
O75348	-0.030158141507619928	-0.24027372339359734	0.1799574403783575	16.44572888122263	-0.2868033839961747	0.7752005340424623	0.8818055381461445	-7.088764914180499	O75348	VATG1_HUMAN	ATP6V1G1	not significant
Q16698	-0.014777593221545768	-0.11786517965232574	0.08830999320923419	24.886866745428158	-0.28644107364415905	0.7754767154153995	0.8819498327062102	-7.088869603207153	Q16698	DECR_HUMAN	DECR1	not significant
Q8IXM3	0.017794021589099453	-0.10685885321861353	0.14244689639681243	16.651006358763624	0.28523956874770356	0.7763928046328831	0.8825892690730878	-7.08921583159511	Q8IXM3	RM41_HUMAN	MRPL41	not significant
Q96DP5	0.03320759813229421	-0.20019133346459392	0.2666065297291823	15.019838241433668	0.28429980244417563	0.7771095529598249	0.8828275309226822	-7.089485625093538	Q96DP5	FMT_HUMAN	MTFMT	not significant
Q8IVS2	-0.02462023414948099	-0.19769160618607223	0.14845113788711023	17.175109881133057	-0.2842528968011677	0.7771453324190696	0.8828275309226822	-7.0894990677660426	Q8IVS2	FABD_HUMAN	MCAT	not significant
Q96M96	0.025969765107530487	-0.15741862462156958	0.20935815483663056	15.359798583694628	0.2829659254687112	0.7781272181787584	0.8832639154956778	-7.089867037345869	Q96M96	FGD4_HUMAN	FGD4	not significant
Q96S99	-0.005760107070822459	-0.2335582261452243	0.22203801200357937	13.901287470637616	-0.05062987605824603	0.9597967389572567	0.9793641223706907	-7.09018676578759	Q96S99	PKHF1_HUMAN	PLEKHF1	not significant
Q5BKU9	0.027578268215499562	-0.16803978709021733	0.22319632352121643	15.188873183892921	0.281705944065681	0.7790888636717794	0.8833908700606844	-7.090225676476312	Q5BKU9	OXLD1_HUMAN	OXLD1	not significant
Q9NR56	0.03622069070909569	-0.2212683901633096	0.29370977158150097	19.285243317459464	0.28108383335474335	0.7795638000489211	0.8833908700606844	-7.090402164373112	Q9NR56	MBNL1_HUMAN	MBNL1	not significant
P15170	0.016811755082355228	-0.10286146549358542	0.13648497565829587	18.2717473068695	0.2807075105616993	0.7798511361039419	0.8833908700606844	-7.090508735253467	P15170	ERF3A_HUMAN	GSPT1	not significant
Q8IZH2	0.019817106724339287	-0.16627757777271066	0.20591179122138922	15.35859064114798	0.21285326186969103	0.8321371059919767	0.9124771162251419	-7.090690188232121	Q8IZH2	XRN1_HUMAN	XRN1	not significant
P35270	-0.019768839114311786	-0.1608160756473697	0.1212783974187461	20.736985351051835	-0.28006222977115613	0.780343902968047	0.8835719116045411	-7.090691140897657	P35270	SPRE_HUMAN	SPR	not significant
O43149	0.02543926153797615	-0.15648307135984985	0.20736159443580215	15.95635648197127	0.27941932588964014	0.7808349445705658	0.8836037820963106	-7.0908724582117495	O43149	ZZEF1_HUMAN	ZZEF1	not significant
Q9H479	-0.020384719839684328	-0.16656098243929054	0.1257915427599219	17.897083516312946	-0.27865436480770733	0.7814193284607232	0.8836037820963106	-7.091087657613631	Q9H479	FN3K_HUMAN	FN3K	not significant
P63279	0.027154780968401893	-0.16855599971335655	0.22286556165016036	17.00134510316124	0.27724869567277644	0.7824935037554572	0.8839721945638351	-7.091481567167739	P63279	UBC9_HUMAN	UBE2I	not significant
P46109	-0.01687070523700279	-0.1385952828126963	0.10485387233869073	17.73112984938691	-0.2769446107644784	0.782725933383541	0.8840656650532019	-7.091566519197903	P46109	CRKL_HUMAN	CRKL	not significant
Q96AG4	0.024525879893226517	-0.15304082339092104	0.20209258317737408	18.092144462651095	0.275994878018485	0.7834519966684946	0.8847165377292789	-7.091831246682094	Q96AG4	LRC59_HUMAN	LRRC59	not significant
Q8WZ42	-0.0743907787810713	-1.2006654850581437	1.051883927496001	17.037394556184534	-0.13215538362141224	0.8953092770254938	0.9455823658999581	-7.0919281019399385	Q8WZ42	TITIN_HUMAN	TTN	not significant
P62857	-0.030026517885199795	-0.24835089793394263	0.18829786216354302	20.167088180496762	-0.27481516349088336	0.7843541480935576	0.8853329611136953	-7.0921588157200395	P62857	RS28_HUMAN	RPS28	not significant
P23610	-0.017169823616821973	-0.24063798012775794	0.20629833289411398	14.607154951478249	-0.153626019125374	0.8784097851698329	0.9366321161720513	-7.092240135496372	P23610	HAP40_HUMAN	F8A3	not significant
P00558	0.013549215594708213	-0.08508201613259782	0.11218044732201425	22.425878140039643	0.2744970323048319	0.7845974802690623	0.8853329611136953	-7.0922469109513875	P00558	PGK1_HUMAN	PGK1	not significant
Q92954	0.01740259511308941	-0.2598712044125949	0.2946763946387737	14.769213240568387	0.12557849320521863	0.9004908375065677	0.9483199154647858	-7.092340762410393	Q92954	PRG4_HUMAN	PRG4	not significant
Q9H2D6	-0.012702755343748167	-0.21874376276303356	0.1933382520755372	15.290657216594873	-0.12331165594956803	0.9022708550982469	0.948605570724593	-7.092642271217847	Q9H2D6	TARA_HUMAN	TRIOBP	not significant
Q96GE9	-0.016756821817590327	-0.2844815320626222	0.2509678884274416	15.544835585049189	-0.12518810209846484	0.900791521462487	0.9483199154647858	-7.092835563923343	Q96GE9	DMAC1_HUMAN	DMAC1	not significant
P20674	0.01928910731663667	-0.12237693756869257	0.1609551522019659	18.014793119095504	0.2720722931304411	0.7864528214668048	0.8862412447210359	-7.09291501234165	P20674	COX5A_HUMAN	COX5A	not significant
Q14689	0.019040591673422817	-0.15350338184691897	0.1915845651937646	14.686355625000628	0.220574180557307	0.826146024251148	0.9095681160543656	-7.09292816247817	Q14689	DIP2A_HUMAN	DIP2A	not significant
Q14185	0.015072823458185117	-0.1804651076951135	0.21061075461148374	15.490838619012388	0.1541783726946691	0.8779845155766133	0.9365243098931222	-7.09297775249314	Q14185	DOCK1_HUMAN	DOCK1	not significant
Q9NZJ7	0.026779333930931976	-0.18201775960685934	0.23557642746872332	15.741812722693128	0.25635946221101663	0.7985188291244593	0.8932037606261465	-7.093068554887099	Q9NZJ7	MTCH1_HUMAN	MTCH1	not significant
Q99436	0.019527454432632874	-0.12426237264642676	0.1633172815116925	18.5668723590674	0.27136599713854725	0.7869934930868016	0.8866813373084034	-7.093108509667708	Q99436	PSB7_HUMAN	PSMB7	not significant
Q5K4L6	-0.020203446263334413	-0.1708915052758664	0.13048461274919756	16.79151785185529	-0.26790731688434993	0.7896426363211906	0.8889876877836355	-7.0940488067701395	Q5K4L6	S27A3_HUMAN	SLC27A3	not significant
P42566	-0.015414060932724407	-0.13075886077942409	0.09993073891397528	16.73876890598907	-0.2670281264195126	0.7903164422954194	0.8892465764781412	-7.094285910375654	P42566	EPS15_HUMAN	EPS15	not significant
Q9Y4X5	-0.020275498686770754	-0.22816701983418	0.1876160224606385	14.229093659673463	-0.19500662106834785	0.8460333497725988	0.919468640249285	-7.094353522946421	Q9Y4X5	ARI1_HUMAN	ARIH1	not significant
Q9Y2T2	-0.029671558190048287	-0.25247450884348643	0.19313139246338987	15.099054454979136	-0.26610765786493445	0.7910220555369454	0.8896932316249568	-7.0945333127835175	Q9Y2T2	AP3M1_HUMAN	AP3M1	not significant
Q8WUD6	-0.02400683983156556	-0.2046519408826116	0.15663826121948046	15.269513734912662	-0.26555027988838154	0.7914494159190333	0.889819704729636	-7.0946827098107414	Q8WUD6	CHPT1_HUMAN	CHPT1	not significant
Q9Y5J9	0.021694138404032712	-0.14190109166276293	0.18528936847082839	16.306948144492562	0.26497794435182803	0.7918883115575629	0.889819704729636	-7.094835790752532	Q9Y5J9	TIM8B_HUMAN	TIMM8B	not significant
Q53GQ0	0.016043020588482306	-0.10576897866337094	0.13785501984033555	19.231564949572327	0.263168573613371	0.7932762715811373	0.8910402548418024	-7.095317570178424	Q53GQ0	DHB12_HUMAN	HSD17B12	not significant
Q9Y2V7	0.022402970726248805	-0.1926087831591161	0.2374147246116137	16.098621205574567	0.20826555096428673	0.8357017218620792	0.9147697115241571	-7.09559052499707	Q9Y2V7	COG6_HUMAN	COG6	not significant
Q7Z6K5	-0.025518737653791392	-0.2205988609130251	0.16956138560544232	15.603057912658585	-0.2613870833195872	0.7946435000232782	0.892144025339074	-7.095788707844346	Q7Z6K5	ARPIN_HUMAN	ARPIN	not significant
P48775	0.0029072464052724667	-0.2328632202421943	0.23867771305273922	16.45370368464218	0.024663363289344212	0.9804050041214039	0.9892827531763217	-7.0959574224364275	P48775	T23O_HUMAN	TDO2	not significant
Q9Y296	-0.016702346007384267	-0.17843550769400038	0.14503081567923184	15.688442656260802	-0.20642031182777884	0.8371364381372832	0.9157488060082968	-7.095976496790148	Q9Y296	TPPC4_HUMAN	TRAPPC4	not significant
Q9UMX3	0.01472119377465831	-0.09828242397919676	0.1277248115285134	15.597519870874008	0.2603086733455791	0.7954714543500828	0.8924819004262916	-7.096072355473947	Q9UMX3	BOK_HUMAN	BOK	not significant
Q99816	0.021860163210851727	-0.1459598126949732	0.1896801391166767	16.392125724057113	0.26028413804683814	0.7954902941888014	0.8924819004262916	-7.096078795230678	Q99816	TS101_HUMAN	TSG101	not significant
Q9BSE5	-0.01749704125911652	-0.1519171149177096	0.11692303239947655	20.36135059321514	-0.26009885703583435	0.7956325692474061	0.8924819004262916	-7.096127406205423	Q9BSE5	SPEB_HUMAN	AGMAT	not significant
Q9UMS0	-0.023625719500463025	-0.20571980050414626	0.15846836150322022	17.6595363450283	-0.2592550180013493	0.796280631019845	0.8927170476088088	-7.0963483618774434	Q9UMS0	NFU1_HUMAN	NFU1	not significant
Q9UKG1	-0.02170128234120498	-0.1895402795382517	0.14613771485584176	16.29216763511363	-0.25836309484390346	0.7969657774262355	0.892788206432832	-7.09658112928969	Q9UKG1	DP13A_HUMAN	APPL1	not significant
Q8N442	0.027385747321176095	-0.18466007859407976	0.23943157323643197	14.466320939466481	0.2580672094946922	0.7971931023629014	0.892788206432832	-7.096658170407437	Q8N442	GUF1_HUMAN	GUF1	not significant
Q9Y376	-0.01758333926119876	-0.15393969173353592	0.1187730132111384	16.312712003510512	-0.2576700473122284	0.7974982646848618	0.892788206432832	-7.096761442986665	Q9Y376	CAB39_HUMAN	CAB39	not significant
P41091;Q2VIR3	0.02449500394387284	-0.16717961566603373	0.2161696235537794	18.189629320151624	0.25535881867097804	0.7992747406462865	0.8933989817638288	-7.09735927358824	P41091;Q2VIR3	IF2GL_HUMAN;IF2G_HUMAN	EIF2S3;EIF2S3B	not significant
Q9H098	0.01930379107528758	-0.13198391748862373	0.17059149963919887	16.459643361172237	0.2549628590184169	0.7995791935106202	0.8933989817638288	-7.09746115458174	Q9H098	F107B_HUMAN	FAM107B	not significant
Q9H227	-0.014214364373570524	-0.1585453671684302	0.13011663842128918	18.774387600560228	-0.19685291263125573	0.8445841056591802	0.919468640249285	-7.097922722424834	Q9H227	GBA3_HUMAN	GBA3	not significant
P28062	0.01597857237651467	-0.1108139593911378	0.14277110414416716	18.669375396151516	0.25181538317506746	0.8020003893036729	0.8951885673849634	-7.098265392953412	P28062	PSB8_HUMAN	PSMB8	not significant
A0A075B6K5	0.02591932003871125	-0.23744344994445624	0.2892820900218787	16.560472271766393	0.1967176161055776	0.8446895299850005	0.919468640249285	-7.098350595867245	A0A075B6K5	LV39_HUMAN	IGLV3-9	not significant
P08236	-0.01276367685925183	-0.11445021525601606	0.08892286153751242	20.288102149972218	-0.250813145070806	0.8027717709923187	0.8955742499963418	-7.098519390612524	P08236	BGLR_HUMAN	GUSB	not significant
Q5T653	0.023372726135506956	-0.16382563016303986	0.21057108243405376	15.73729315538184	0.2494854922423213	0.8037939139896555	0.896375916922754	-7.098854301716048	Q5T653	RM02_HUMAN	MRPL2	not significant
O95178	-0.015448536657469666	-0.30456723710438305	0.27367016378944375	17.06560379656822	-0.10683800114557243	0.9152667576206512	0.9557419715779241	-7.099220256518021	O95178	NDUB2_HUMAN	NDUFB2	not significant
Q9Y6E2	-0.03172628261232325	-0.2875617462293381	0.22410918100469163	15.311805189174716	-0.2477972028411447	0.8050942025978202	0.8974870442700501	-7.099277624002398	Q9Y6E2	5MP1_HUMAN	BZW2	not significant
Q00403	-0.005356357029500329	-0.2684280194506868	0.25771530539168613	15.236664141478409	-0.040724457629463036	0.9676502506406197	0.9833004783694941	-7.099481484951842	Q00403	TF2B_HUMAN	GTF2B	not significant
Q6P1Q0	0.02408866522163249	-0.17109444077254293	0.21927177121580793	15.836232052446666	0.24660874217672865	0.8060098639169317	0.8979404782827788	-7.099573898530935	Q6P1Q0	LTMD1_HUMAN	LETMD1	not significant
